X;X1;X2;X3;X4;X4;X5;X6;X7;X8;X9;Y
35;95;1;56;-856;-16460;-2308;1156;-7360;-15620;150;Happy
35;95;1;56;-880;-16492;-2344;1236;-7356;-15636;150;Happy
-1;-1;1;56;-1;-1;-1;1196;-7404;-15712;150;Angry
35;95;1;56;-824;-16596;-2288;1232;-7352;-15604;150;Angry
35;95;-1;56;-896;-16564;-2304;-1;-1;-1;150;Angry
35;95;1;56;-728;-16504;-2152;1212;-7368;-15468;150;Angry
-1;-1;1;56;-1;-1;-1;1348;-7340;-15748;150;Fear
35;95;1;56;-832;-16508;-2216;1268;-7236;-15784;150;Fear
35;95;1;56;-736;-16580;-2308;1236;-7440;-15672;200;Fear
35;95;1;56;-936;-16584;-2404;1268;-7252;-15508;200;Fear
35;95;1;56;-880;-16508;-2380;1256;-7324;-15676;200;Fear
35;95;1;56;-856;-16468;-2400;1224;-7212;-15496;200;Fear
35;95;1;56;-904;-16524;-2288;1128;-7344;-15600;200;Fear
35;95;1;56;-776;-16460;-2332;1204;-7360;-15664;200;Fear
35;95;1;56;-728;-16596;-2384;1220;-7412;-15676;200;Sad
35;95;1;56;-800;-16428;-2200;1168;-7468;-15460;200;Sad
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;200;Sad
35;95;1;56;-792;-16460;-2456;1312;-7404;-15608;200;Sad
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;200;Sad
35;95;1;56;-836;-16488;-2328;1156;-7324;-15568;200;Sad
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;200;Sad
35;95;1;56;-816;-16528;-2344;1260;-7472;-15616;200;Sad
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;200;Sad
35;95;1;56;-908;-16568;-2472;1240;-7364;-15652;200;Sad
-1;-1;1;56;-1;-1;-1;1300;-7396;-15480;200;Sad
36;95;-1;56;-880;-16532;-2400;-1;-1;-1;200;Sad
35;95;1;56;-840;-16524;-2476;1180;-7348;-15660;200;Sad
35;95;1;56;-804;-16540;-2324;1192;-7440;-15580;200;Sad
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;250;Sad
36;95;1;56;-928;-16516;-2312;1268;-7372;-15800;250;Sad
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;250;Sad
36;95;1;56;-848;-16436;-2364;1276;-7376;-15668;250;Sad
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;250;Fear
36;95;1;56;-824;-16472;-2496;1092;-7352;-15540;250;Fear
35;95;1;56;-828;-16548;-2400;1140;-7436;-15688;250;Fear
35;95;1;56;-852;-16520;-2368;1228;-7484;-15812;250;Fear
36;95;1;56;-900;-16460;-2356;1112;-7372;-15540;250;Fear
36;95;1;56;-844;-16516;-2412;1136;-7356;-15648;250;Fear
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;250;Fear
36;95;1;56;-808;-16596;-2424;1192;-7456;-15552;250;Fear
-1;-1;1;56;-1;-1;-1;1300;-7328;-15760;250;Fear
36;95;-1;56;-836;-16524;-2236;-1;-1;-1;250;Sad
36;95;-1;56;-784;-16512;-2440;-1;-1;-1;250;Sad
-1;-1;1;56;-1;-1;-1;1192;-7400;-15796;250;Sad
36;95;-1;56;-780;-16584;-2256;-1;-1;-1;250;Sad
36;95;1;56;-832;-16524;-2268;1180;-7428;-15856;250;Sad
36;95;-1;56;-908;-16544;-2308;-1;-1;-1;250;Sad
36;95;1;56;-852;-16512;-2452;1284;-7380;-15716;250;Sad
32;78;1;56;-1280;-16472;-2240;1344;-7384;-15648;100;Happy
32;81;-1;56;-1344;-16412;-2324;-1;-1;-1;100;Happy
-1;-1;1;56;-1;-1;-1;1204;-7308;-15484;100;Happy
32;70;1;56;-1792;-16516;-2356;1224;-7304;-15400;100;Happy
33;69;-1;56;-1660;-16460;-2268;-1;-1;-1;100;Happy
-1;-1;1;56;-1;-1;-1;1228;-7404;-15648;100;Happy
32;75;-1;56;-1800;-16288;-2368;-1;-1;-1;100;Happy
33;84;1;56;-1476;-16452;-2328;1284;-7392;-15572;100;Happy
-1;-1;1;56;-1;-1;-1;1208;-7420;-15748;100;Happy
33;84;1;56;-1392;-16512;-2224;1228;-7456;-15624;100;Happy
-1;-1;1;56;-1;-1;-1;1244;-7464;-15592;100;Happy
33;88;1;56;-1284;-16400;-2200;1260;-7456;-15572;100;Happy
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;100;Happy
33;90;1;56;-1372;-16516;-2368;1204;-7540;-15648;100;Happy
33;92;1;56;-1224;-16548;-2432;1172;-7372;-15568;100;Happy
33;92;1;56;-1236;-16428;-2328;1224;-7336;-15616;100;Happy
33;94;1;56;-1200;-16484;-2312;1232;-7308;-15608;100;Happy
33;94;1;56;-956;-16524;-2408;1280;-7456;-15660;100;Happy
-1;-1;1;56;-1;-1;-1;1184;-7360;-15592;100;Happy
33;95;-1;56;-1156;-16440;-2400;-1;-1;-1;100;Happy
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;150;Happy
33;95;1;56;-1440;-16472;-2552;1316;-7368;-15556;150;Happy
33;95;-1;56;-1452;-16408;-2324;-1;-1;-1;150;Happy
-1;-1;1;56;-1;-1;-1;1168;-7396;-15620;150;Happy
-1;-1;1;56;-1;-1;-1;1248;-7368;-15684;150;Happy
33;95;-1;56;-1400;-16408;-2468;-1;-1;-1;150;Happy
-1;-1;1;56;-1;-1;-1;1284;-7372;-15720;150;Happy
33;95;-1;56;-1524;-16536;-2384;-1;-1;-1;150;Happy
-1;-1;1;56;-1;-1;-1;1284;-7396;-15604;150;Happy
33;95;1;56;-1476;-16516;-2416;1384;-7432;-15692;150;Happy
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;150;Happy
33;95;1;56;-1372;-16408;-2336;1180;-7436;-15528;150;Angry
34;95;1;56;-1424;-16528;-2424;1244;-7476;-15700;150;Angry
-1;-1;1;76;-1;-1;-1;1252;-7460;-15672;150;Angry
34;95;1;76;-1432;-16404;-2308;1228;-7368;-15616;150;Angry
34;95;1;76;-1364;-16472;-2332;1284;-7396;-15788;150;Angry
34;95;1;76;-1384;-16472;-2320;1172;-7372;-15664;150;Angry
34;95;1;76;-1408;-16488;-2420;1240;-7400;-15572;150;Fear
34;95;1;76;-1364;-16468;-2488;1144;-7424;-15544;150;Fear
34;95;1;76;-1372;-16444;-2324;1160;-7444;-15632;150;Fear
-1;-1;-1;76;-1;-1;-1;-1;-1;-1;200;Fear
34;95;1;76;-1504;-16472;-2424;1224;-7480;-15712;200;Fear
-1;-1;-1;76;-1;-1;-1;-1;-1;-1;200;Fear
34;95;1;76;-1356;-16452;-2472;1324;-7456;-15680;200;Fear
-1;-1;-1;76;-1;-1;-1;-1;-1;-1;200;Fear
34;95;1;76;-1416;-16432;-2316;1236;-7380;-15588;200;Fear
-1;-1;-1;76;-1;-1;-1;-1;-1;-1;200;Fear
34;95;1;76;-1428;-16468;-2328;1208;-7388;-15592;200;Fear
34;95;1;76;-1260;-16584;-2448;1260;-7448;-15648;200;Fear
-1;-1;-1;76;-1;-1;-1;-1;-1;-1;200;Fear
-1;-1;-1;76;-1;-1;-1;-1;-1;-1;200;Fear
34;95;1;76;-1512;-16428;-2388;1184;-7428;-15680;200;Fear
34;95;1;48;-1512;-16420;-2608;1264;-7372;-15556;200;Fear
34;95;1;48;-1956;-16408;-2280;1296;-7312;-15652;200;Sad
34;95;1;48;-1632;-16360;-2308;1340;-7376;-15556;200;Sad
34;95;1;48;-680;-16216;-2404;1252;-7364;-15736;200;Sad
34;95;1;48;-644;-16680;-2344;1124;-7352;-15648;200;Sad
34;95;1;48;-1564;-16532;-2352;1236;-7424;-15508;200;Sad
-1;-1;1;48;-1;-1;-1;1228;-7448;-15844;200;Sad
34;95;1;48;-1408;-16532;-2320;1280;-7408;-15592;200;Sad
34;95;1;48;-1524;-16408;-2364;1260;-7356;-15576;250;Sad
34;95;1;48;-1316;-16468;-2396;1152;-7416;-15572;250;Sad
34;95;-1;48;-1264;-16500;-2500;-1;-1;-1;250;Sad
35;95;1;48;-1280;-16480;-2456;1180;-7496;-15712;250;Sad
35;95;-1;48;-1968;-16300;-2188;-1;-1;-1;250;Sad
-1;-1;1;48;-1;-1;-1;1240;-7332;-15520;250;Sad
35;95;1;48;-2208;-16320;-2252;1184;-7368;-15632;250;Sad
35;95;-1;48;-1664;-16460;-2336;-1;-1;-1;250;Sad
-1;-1;1;48;-1;-1;-1;1304;-7448;-15540;250;Sad
35;95;-1;48;-1988;-16408;-2156;-1;-1;-1;250;Sad
35;95;1;48;-1480;-16480;-2380;1196;-7416;-15680;250;Sad
-1;-1;1;48;-1;-1;-1;1180;-7468;-15672;250;Sad
35;95;1;44;-2140;-16352;-2316;1300;-7388;-15504;250;Sad
35;95;-1;44;-1960;-16460;-2316;-1;-1;-1;250;Sad
35;95;1;44;-1732;-16524;-2292;1268;-7320;-15680;250;Sad
-1;-1;1;44;-1;-1;-1;1308;-7344;-15628;250;Sad
35;95;1;44;-1720;-16424;-2372;1336;-7380;-15684;250;Sad
35;95;1;44;-1928;-16332;-2380;1280;-7296;-15728;250;Sad
35;95;1;44;-1580;-16536;-2356;1212;-7396;-15684;250;Sad
35;95;1;44;-2068;-16384;-2332;1228;-7360;-15644;250;Sad
33;52;1;52;-904;-16428;-2304;1184;-7384;-15560;100;Happy
33;50;1;52;-896;-16528;-2396;1276;-7364;-15676;100;Happy
33;50;1;52;-908;-16504;-2292;1216;-7416;-15568;100;Happy
33;48;1;52;-864;-16512;-2292;1136;-7428;-15648;100;Happy
33;48;1;52;196;-16524;-2388;1316;-7412;-15684;100;Happy
-1;-1;1;52;-1;-1;-1;1244;-7532;-15712;100;Happy
33;64;1;52;-656;-16464;-2380;1276;-7468;-15584;100;Happy
-1;-1;-1;52;-1;-1;-1;-1;-1;-1;100;Happy
33;75;1;52;-788;-16576;-2404;1164;-7508;-15704;100;Happy
-1;-1;-1;52;-1;-1;-1;-1;-1;-1;100;Happy
-1;-1;1;52;-1;-1;-1;1276;-7368;-15656;100;Happy
33;82;-1;52;-668;-16588;-2272;-1;-1;-1;100;Happy
-1;-1;1;52;-1;-1;-1;1244;-7292;-15636;100;Happy
33;87;-1;52;-764;-16460;-2324;-1;-1;-1;100;Happy
33;91;1;52;-652;-16580;-2432;1276;-7440;-15596;100;Happy
33;93;1;52;-888;-16592;-2448;1244;-7416;-15564;100;Happy
-1;-1;-1;52;-1;-1;-1;-1;-1;-1;100;Happy
33;93;1;52;-604;-16584;-2308;1212;-7456;-15700;100;Happy
33;95;-1;48;-636;-16560;-2408;-1;-1;-1;100;Angry
-1;-1;1;48;-1;-1;-1;1184;-7444;-15688;100;Angry
33;95;1;48;-604;-16552;-2280;1232;-7476;-15684;150;Angry
33;95;1;48;-804;-16460;-2376;1228;-7356;-15780;150;Angry
33;95;1;48;-736;-16448;-2228;1280;-7404;-15548;150;Angry
33;95;1;48;-756;-16492;-2300;1268;-7384;-15536;150;Angry
33;95;1;48;-792;-16460;-2224;1144;-7372;-15592;150;Angry
34;95;1;48;-620;-16488;-2436;1232;-7448;-15720;150;Angry
-1;-1;-1;48;-1;-1;-1;-1;-1;-1;150;Angry
34;95;1;48;-712;-16520;-2292;1220;-7312;-15656;150;Angry
-1;-1;1;48;-1;-1;-1;1240;-7440;-15560;150;Angry
34;95;-1;48;-664;-16528;-2236;-1;-1;-1;150;Angry
34;95;1;48;-628;-16512;-2264;1228;-7388;-15804;150;Angry
34;95;-1;48;-632;-16456;-2232;-1;-1;-1;150;Angry
-1;-1;1;48;-1;-1;-1;1160;-7420;-15484;150;Angry
34;95;1;48;-712;-16616;-2336;1260;-7416;-15648;150;Angry
-1;-1;-1;48;-1;-1;-1;-1;-1;-1;150;Angry
34;95;1;48;-620;-16496;-2320;1144;-7348;-15568;150;Angry
34;95;-1;48;-668;-16632;-2276;-1;-1;-1;150;Angry
34;95;1;48;-704;-16516;-2188;1260;-7452;-15448;150;Angry
34;95;-1;48;-612;-16468;-2332;-1;-1;-1;150;Angry
-1;-1;1;48;-1;-1;-1;1284;-7488;-15612;150;Angry
34;95;1;56;-760;-16472;-2280;1260;-7392;-15596;200;Angry
34;95;1;56;-600;-16580;-2328;1272;-7356;-15552;200;Angry
34;95;1;56;-832;-16580;-2272;1292;-7388;-15716;200;Angry
34;95;-1;56;-712;-16592;-2444;-1;-1;-1;200;Angry
34;95;1;56;-808;-16516;-2280;1244;-7396;-15716;200;Angry
-1;-1;1;56;-1;-1;-1;1192;-7372;-15540;200;Angry
34;95;1;56;-628;-16476;-2240;1284;-7272;-15660;200;Angry
34;95;1;56;-680;-16464;-2332;1268;-7440;-15692;200;Fear
34;95;1;56;-764;-16552;-2340;1240;-7404;-15664;200;Fear
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;200;Fear
34;95;1;56;-772;-16504;-2252;1260;-7352;-15632;200;Fear
35;95;-1;56;-772;-16580;-2420;-1;-1;-1;200;Fear
-1;-1;1;56;-1;-1;-1;1232;-7448;-15648;200;Fear
35;95;-1;56;-600;-16452;-2316;-1;-1;-1;200;Fear
35;95;1;56;-696;-16456;-2380;1236;-7408;-15764;200;Fear
35;95;-1;56;-700;-16480;-2380;-1;-1;-1;200;Fear
35;95;1;56;-688;-16576;-2268;1264;-7436;-15532;200;Fear
-1;-1;1;56;-1;-1;-1;1212;-7356;-15776;200;Fear
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;200;Fear
35;95;1;56;-736;-16460;-2352;1284;-7416;-15688;200;Fear
-1;-1;-1;56;-1;-1;-1;-1;-1;-1;250;Fear
35;95;1;56;-692;-16508;-2192;1252;-7352;-15680;250;Fear
-1;-1;1;56;-1;-1;-1;1156;-7444;-15532;250;Fear
35;95;1;56;-708;-16572;-2316;1260;-7380;-15632;250;Fear
35;95;1;56;-720;-16420;-2272;1200;-7452;-15636;250;Sad
35;95;-1;44;-636;-16516;-2360;-1;-1;-1;250;Sad
35;95;-1;44;-756;-16624;-2380;-1;-1;-1;250;Sad
35;95;-1;44;-664;-16572;-2504;-1;-1;-1;250;Sad
35;95;-1;44;-660;-16584;-2276;-1;-1;-1;250;Sad
35;95;-1;44;-712;-16484;-2380;-1;-1;-1;250;Sad
35;95;-1;44;-692;-16520;-2268;-1;-1;-1;250;Sad
35;95;-1;44;-632;-16556;-2380;-1;-1;-1;250;Sad
35;95;-1;44;-652;-16484;-2372;-1;-1;-1;250;Sad
-1;-1;-1;44;-1;-1;-1;-1;-1;-1;250;Sad
-1;-1;-1;44;-1;-1;-1;-1;-1;-1;250;Sad
35;95;-1;44;-760;-16468;-2416;-1;-1;-1;250;Sad
-1;-1;-1;44;-1;-1;-1;-1;-1;-1;250;Sad
35;95;-1;44;-752;-16568;-2312;-1;-1;-1;250;Sad
-1;-1;-1;44;-1;-1;-1;-1;-1;-1;250;Sad
35;95;-1;44;-760;-16552;-2316;-1;-1;-1;250;Sad
34;49;1;72;-1084;-16504;-2316;1260;-7344;-15612;100;Happy
34;46;1;72;-648;-16556;-2300;1208;-7324;-15604;100;Happy
34;45;-1;72;-884;-16432;-2412;-1;-1;-1;100;Happy
34;45;1;72;-460;-16460;-2484;1180;-7408;-15720;100;Happy
-1;-1;-1;72;-1;-1;-1;-1;-1;-1;100;Happy
34;59;1;44;-364;-16604;-2360;1200;-7416;-15720;100;Happy
34;69;1;44;-380;-16544;-2232;1204;-7440;-15572;100;Happy
34;69;1;44;-224;-16560;-2412;1192;-7360;-15676;100;Happy
34;79;-1;44;-252;-16504;-2140;-1;-1;-1;100;Happy
34;79;1;44;-272;-16500;-2324;1344;-7328;-15636;100;Happy
34;82;1;44;-248;-16540;-2300;1208;-7452;-15624;100;Happy
34;82;-1;44;-248;-16624;-2296;-1;-1;-1;100;Happy
34;90;1;44;-316;-16568;-2308;1184;-7412;-15656;100;Happy
34;90;1;44;-72;-16752;-2348;1320;-7396;-15764;100;Happy
34;92;1;44;-64;-16552;-2324;1192;-7312;-15748;100;Happy
-1;-1;-1;44;-1;-1;-1;-1;-1;-1;100;Happy
-1;-1;1;44;-1;-1;-1;1216;-7456;-15752;100;Happy
34;92;-1;44;320;-16644;-2280;-1;-1;-1;100;Happy
-1;-1;1;44;-1;-1;-1;1212;-7328;-15688;100;Happy
34;94;1;44;524;-16852;-2260;1260;-7348;-15728;100;Happy
-1;-1;1;44;-1;-1;-1;1244;-7316;-15744;150;Happy
35;95;1;44;172;-16608;-2336;1188;-7292;-15684;150;Happy
-1;-1;1;44;-1;-1;-1;1260;-7396;-15576;150;Happy
35;95;-1;44;732;-16484;-2376;-1;-1;-1;150;Happy
35;95;1;44;224;-16604;-2288;1284;-7328;-15624;150;Happy
-1;-1;1;44;-1;-1;-1;1264;-7268;-15552;150;Happy
34;95;1;44;84;-16612;-2244;1204;-7436;-15660;150;Happy
-1;-1;1;68;-1;-1;-1;1236;-7356;-15756;150;Angry
35;95;1;68;296;-16588;-2272;1332;-7408;-15628;150;Angry
-1;-1;1;68;-1;-1;-1;1192;-7308;-15736;150;Angry
35;95;1;68;624;-16788;-2352;1164;-7352;-15808;150;Fear
35;95;1;68;588;-16628;-2440;1260;-7304;-15596;150;Fear
35;95;-1;48;644;-16580;-2284;-1;-1;-1;150;Fear
35;95;1;48;564;-16520;-2344;1192;-7424;-15784;150;Fear
35;95;1;48;580;-16568;-2280;1180;-7296;-15636;150;Fear
-1;-1;-1;48;-1;-1;-1;-1;-1;-1;150;Fear
35;95;1;48;424;-16508;-2424;1188;-7400;-15648;150;Fear
-1;-1;1;48;-1;-1;-1;1336;-7352;-15564;150;Fear
35;95;-1;48;88;-16652;-2284;-1;-1;-1;150;Fear
-1;-1;1;48;-1;-1;-1;1200;-7384;-15668;150;Fear
35;95;-1;48;12;-16580;-2264;-1;-1;-1;200;Fear
-1;-1;-1;48;-1;-1;-1;-1;-1;-1;200;Fear
35;95;1;48;100;-16544;-2284;1172;-7444;-15700;200;Fear
-1;-1;-1;48;-1;-1;-1;-1;-1;-1;200;Fear
35;95;1;48;164;-16608;-2192;1252;-7400;-15724;200;Fear
35;95;1;48;52;-16584;-2148;1232;-7276;-15676;200;Fear
-1;-1;1;48;-1;-1;-1;1244;-7336;-15664;200;Fear
36;95;-1;48;-40;-16540;-2236;-1;-1;-1;200;Fear
-1;-1;1;68;-1;-1;-1;1264;-7392;-15744;200;Fear
35;95;1;68;-32;-16524;-2224;1172;-7220;-15740;200;Fear
35;95;1;68;-4;-16508;-2252;1244;-7468;-15680;200;Fear
-1;-1;-1;68;-1;-1;-1;-1;-1;-1;200;Fear
35;95;1;68;44;-16564;-2244;1268;-7320;-15784;200;Fear
-1;-1;-1;68;-1;-1;-1;-1;-1;-1;200;Fear
35;95;1;68;96;-16632;-2168;1200;-7288;-15584;200;Sad
35;95;1;68;-52;-16612;-2292;1128;-7280;-15740;200;Sad
35;95;1;68;28;-16580;-2528;1236;-7380;-15624;200;Sad
35;95;1;68;108;-16532;-2400;1260;-7416;-15752;200;Sad
35;95;-1;68;44;-16564;-2256;-1;-1;-1;200;Sad
36;95;1;68;212;-16652;-2356;1260;-7336;-15624;200;Sad
36;95;-1;68;-16;-16548;-2168;-1;-1;-1;250;Sad
-1;-1;1;68;-1;-1;-1;1236;-7352;-15640;250;Sad
36;95;-1;68;-52;-16524;-2432;-1;-1;-1;250;Sad
36;95;1;68;-44;-16672;-2252;1128;-7360;-15568;250;Sad
36;95;1;68;40;-16672;-2396;1264;-7268;-15560;250;Sad
35;95;-1;68;0;-16656;-2272;-1;-1;-1;250;Sad
-1;-1;1;68;-1;-1;-1;1280;-7232;-15604;250;Sad
-1;-1;-1;68;-1;-1;-1;-1;-1;-1;250;Sad
35;95;-1;68;32;-16572;-2164;-1;-1;-1;250;Sad
-1;-1;1;68;-1;-1;-1;1248;-7324;-15488;250;Sad
